                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.62616,                0.35193,                 1.1658,                0.99951,                      1,                  0.995,                0.92444,                0.40045,                0.24165,                 1.0123,               0.001307,               0.001307,               0.001307
                     37,                0.59757,                0.33927,                 1.1453,                0.99341,                      1,                0.99475,                0.93554,                0.40062,                0.25368,                 1.0182,              0.0012872,              0.0012872,              0.0012872
                     38,                0.60003,                0.34856,                 1.1542,                0.99518,                      1,                  0.995,                0.94086,                0.37882,                0.23659,                0.98674,              0.0012674,              0.0012674,              0.0012674
                     39,                0.58964,                0.33796,                 1.1444,                 0.9996,                      1,                  0.995,                0.93451,                0.37381,                0.22746,                0.99303,              0.0012476,              0.0012476,              0.0012476
                     40,                0.60354,                0.33972,                 1.1539,                0.99963,                      1,                  0.995,                0.93555,                0.38255,                0.22841,                0.99553,              0.0012278,              0.0012278,              0.0012278
                     41,                0.60064,                0.33839,                 1.1515,                0.99963,                      1,                  0.995,                0.92893,                 0.4138,                0.24122,                  1.007,               0.001208,               0.001208,               0.001208
                     42,                0.58118,                0.33354,                 1.1382,                0.99943,                      1,                  0.995,                0.92761,                 0.3927,                   0.24,                0.99197,              0.0011882,              0.0011882,              0.0011882
                     43,                0.58733,                0.33233,                 1.1398,                0.99959,                      1,                  0.995,                0.93394,                0.36623,                0.21984,                0.97402,              0.0011684,              0.0011684,              0.0011684
                     44,                0.57993,                0.32459,                 1.1327,                0.99963,                      1,                  0.995,                0.94043,                0.35897,                0.21541,                0.96873,              0.0011486,              0.0011486,              0.0011486
                     45,                0.57271,                0.33212,                 1.1305,                0.99119,                      1,                  0.995,                0.94356,                0.36679,                0.23339,                0.97343,              0.0011288,              0.0011288,              0.0011288
                     46,                0.57493,                0.32456,                 1.1346,                0.99965,                      1,                  0.995,                0.94295,                0.36513,                 0.2392,                0.97872,               0.001109,               0.001109,               0.001109
                     47,                0.56641,                0.32129,                 1.1285,                0.99948,                      1,                  0.995,                0.93379,                0.37546,                0.22744,                0.98767,              0.0010892,              0.0010892,              0.0010892
                     48,                0.57329,                0.32119,                 1.1338,                0.99963,                      1,                  0.995,                0.94104,                0.35937,                0.22416,                0.97565,              0.0010694,              0.0010694,              0.0010694
                     49,                0.56735,                 0.3186,                 1.1282,                0.99942,                      1,                  0.995,                0.95424,                0.35868,                0.21217,                0.96521,              0.0010496,              0.0010496,              0.0010496
                     50,                0.56855,                0.31828,                  1.128,                0.99964,                      1,                  0.995,                0.93311,                0.38664,                0.22511,                 1.0014,              0.0010298,              0.0010298,              0.0010298
                     51,                0.57828,                0.32125,                 1.1383,                0.99965,                      1,                  0.995,                0.94552,                0.38638,                0.23037,                0.98908,                0.00101,                0.00101,                0.00101
                     52,                0.56218,                0.31956,                 1.1244,                0.99965,                      1,                  0.995,                 0.9539,                0.34943,                0.20839,                0.95763,              0.0009902,              0.0009902,              0.0009902
                     53,                0.54687,                0.30399,                 1.1128,                0.99965,                      1,                  0.995,                0.95706,                0.34381,                0.20253,                  0.953,              0.0009704,              0.0009704,              0.0009704
                     54,                0.55162,                0.31386,                 1.1244,                0.99423,                      1,                  0.995,                 0.9452,                0.35289,                0.21146,                0.96346,              0.0009506,              0.0009506,              0.0009506
                     55,                0.56555,                0.32109,                 1.1274,                0.99964,                      1,                  0.995,                0.94862,                0.36562,                0.21384,                0.97155,              0.0009308,              0.0009308,              0.0009308
                     56,                0.55108,                0.31325,                 1.1196,                0.99949,                      1,                  0.995,                0.93558,                0.37598,                0.22519,                0.99199,               0.000911,               0.000911,               0.000911
                     57,                0.53393,                0.30865,                 1.1079,                0.99963,                      1,                  0.995,                0.94806,                0.34229,                0.19863,                0.95604,              0.0008912,              0.0008912,              0.0008912
                     58,                0.54255,                0.31144,                 1.1088,                0.99965,                      1,                  0.995,                0.95392,                0.33859,                0.19274,                0.95459,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.5505,                0.30909,                 1.1242,                0.99964,                      1,                  0.995,                0.95363,                0.35419,                0.21193,                0.97043,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54988,                0.30749,                 1.1203,                0.99963,                      1,                  0.995,                0.95973,                0.34024,                0.19154,                0.95402,              0.0008318,              0.0008318,              0.0008318
                     61,                0.53232,                0.30616,                 1.1011,                0.99967,                      1,                  0.995,                0.95061,                0.36344,                0.21149,                0.97362,               0.000812,               0.000812,               0.000812
                     62,                0.53306,                0.30407,                 1.1136,                0.99962,                      1,                  0.995,                0.95001,                0.33827,                0.19546,                0.94848,              0.0007922,              0.0007922,              0.0007922
                     63,                0.52339,                0.29945,                 1.1047,                 0.9996,                      1,                  0.995,                0.95754,                0.34782,                0.20814,                 0.9597,              0.0007724,              0.0007724,              0.0007724
                     64,                0.52518,                0.29423,                 1.1019,                0.99964,                      1,                  0.995,                 0.9524,                0.34601,                0.19875,                0.96206,              0.0007526,              0.0007526,              0.0007526
                     65,                0.52942,                0.30573,                  1.108,                0.99701,                      1,                  0.995,                0.94821,                0.35883,                0.21098,                0.97678,              0.0007328,              0.0007328,              0.0007328
